metro_code,metro_name,metro_pop,metro_apps,metro_type,variable_name,total_count,loan,denied,is_reliable,reliable_note,odds_ratio,number_denials_compared_to_10_white
20700,"East Stroudsburg, PA",168032,997,Metropolitan Statistical Area,latino,120,104,16,FALSE,No results,,
20700,"East Stroudsburg, PA",168032,997,Metropolitan Statistical Area,native,4,4,0,FALSE,No results,,
20700,"East Stroudsburg, PA",168032,997,Metropolitan Statistical Area,asian_cb,31,27,4,FALSE,No results,,
48424,"West Palm Beach-Boca Raton-Boynton Beach, FL",1465027,13394,Metropolitan Division,black,1071,885,186,TRUE,Statistically significant disparity,1.5,15
48424,"West Palm Beach-Boca Raton-Boynton Beach, FL",1465027,13394,Metropolitan Division,latino,2300,2005,295,FALSE,Not statistcially significant,1.1,11
48424,"West Palm Beach-Boca Raton-Boynton Beach, FL",1465027,13394,Metropolitan Division,native,39,35,4,FALSE,Not statistcially significant,1,10
48424,"West Palm Beach-Boca Raton-Boynton Beach, FL",1465027,13394,Metropolitan Division,asian_cb,546,468,78,FALSE,Not statistcially significant,1.3,13
33124,"Miami-Miami Beach-Kendall, FL",2699428,15640,Metropolitan Division,black,618,479,139,FALSE,Not statistcially significant,1.2,12
33124,"Miami-Miami Beach-Kendall, FL",2699428,15640,Metropolitan Division,latino,10728,9156,1572,FALSE,Not statistcially significant,1,10
33124,"Miami-Miami Beach-Kendall, FL",2699428,15640,Metropolitan Division,native,10,6,4,FALSE,Not statistcially significant,1.1,11
33124,"Miami-Miami Beach-Kendall, FL",2699428,15640,Metropolitan Division,asian_cb,315,259,56,FALSE,Not statistcially significant,1.2,12
37964,"Philadelphia, PA",2143629,12613,Metropolitan Division,black,1162,964,198,FALSE,Not enough variance in variables,2,20
37964,"Philadelphia, PA",2143629,12613,Metropolitan Division,latino,703,626,77,FALSE,Not enough variance in variables,1.4,14
37964,"Philadelphia, PA",2143629,12613,Metropolitan Division,native,15,15,0,FALSE,Not enough variance in variables,0,0
37964,"Philadelphia, PA",2143629,12613,Metropolitan Division,asian_cb,1679,1470,209,FALSE,Not enough variance in variables,1.4,14
12100,"Atlantic City-Hammonton, NJ",266105,1549,Metropolitan Statistical Area,black,56,50,6,FALSE,Not enough variance in variables,1.3,13
12100,"Atlantic City-Hammonton, NJ",266105,1549,Metropolitan Statistical Area,latino,151,140,11,FALSE,Not enough variance in variables,0.7,7
12100,"Atlantic City-Hammonton, NJ",266105,1549,Metropolitan Statistical Area,native,4,4,0,FALSE,Not enough variance in variables,0,0
12100,"Atlantic City-Hammonton, NJ",266105,1549,Metropolitan Statistical Area,asian_cb,120,108,12,FALSE,Not enough variance in variables,0.8,8
35004,"Nassau County-Suffolk County, NY",2840341,20406,Metropolitan Division,black,999,869,130,TRUE,Statistically significant disparity,1.5,15
35004,"Nassau County-Suffolk County, NY",2840341,20406,Metropolitan Division,latino,2314,2039,275,TRUE,Statistically significant disparity,1.5,15
35004,"Nassau County-Suffolk County, NY",2840341,20406,Metropolitan Division,native,26,24,2,FALSE,Not statistcially significant,1.9,19
35004,"Nassau County-Suffolk County, NY",2840341,20406,Metropolitan Division,asian_cb,2842,2591,251,TRUE,Doesn't meet level of disparity,1.2,12
47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV",4901633,46075,Metropolitan Division,black,5407,4887,520,TRUE,Statistically significant disparity,2.1,21
47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV",4901633,46075,Metropolitan Division,latino,4205,3877,328,TRUE,Statistically significant disparity,1.7,17
47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV",4901633,46075,Metropolitan Division,native,117,109,8,FALSE,Not statistcially significant,1.7,17
47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV",4901633,46075,Metropolitan Division,asian_cb,6978,6458,520,TRUE,Statistically significant disparity,2,20
15804,"Camden, NJ",1243605,8521,Metropolitan Division,black,599,518,81,TRUE,Statistically significant disparity,2.2,22
15804,"Camden, NJ",1243605,8521,Metropolitan Division,latino,523,466,57,TRUE,Statistically significant disparity,1.5,15
15804,"Camden, NJ",1243605,8521,Metropolitan Division,native,5,4,1,FALSE,Not statistcially significant,1.2,12
15804,"Camden, NJ",1243605,8521,Metropolitan Division,asian_cb,606,553,53,FALSE,Not statistcially significant,1.3,13
33874,"Montgomery County-Bucks County-Chester County, PA",1970189,18507,Metropolitan Division,black,530,483,47,TRUE,Statistically significant disparity,1.7,17
33874,"Montgomery County-Bucks County-Chester County, PA",1970189,18507,Metropolitan Division,latino,547,503,44,TRUE,Statistically significant disparity,1.7,17
33874,"Montgomery County-Bucks County-Chester County, PA",1970189,18507,Metropolitan Division,native,21,20,1,FALSE,Not statistcially significant,0.7,7
33874,"Montgomery County-Bucks County-Chester County, PA",1970189,18507,Metropolitan Division,asian_cb,1809,1674,135,TRUE,Statistically significant disparity,1.6,16
42540,"Scranton--Wilkes-Barre, PA",555642,2413,Metropolitan Statistical Area,black,30,21,9,FALSE,No results,,
42540,"Scranton--Wilkes-Barre, PA",555642,2413,Metropolitan Statistical Area,latino,212,175,37,FALSE,No results,,
42540,"Scranton--Wilkes-Barre, PA",555642,2413,Metropolitan Statistical Area,native,3,3,0,FALSE,No results,,
42540,"Scranton--Wilkes-Barre, PA",555642,2413,Metropolitan Statistical Area,asian_cb,66,62,4,FALSE,No results,,
22744,"Fort Lauderdale-Pompano Beach-Sunrise, FL",1926205,16818,Metropolitan Division,black,2382,1942,440,TRUE,Doesn't meet level of disparity,1.4,14
22744,"Fort Lauderdale-Pompano Beach-Sunrise, FL",1926205,16818,Metropolitan Division,latino,5392,4686,706,FALSE,Not statistcially significant,1.1,11
22744,"Fort Lauderdale-Pompano Beach-Sunrise, FL",1926205,16818,Metropolitan Division,native,28,23,5,FALSE,Not statistcially significant,1.4,14
22744,"Fort Lauderdale-Pompano Beach-Sunrise, FL",1926205,16818,Metropolitan Division,asian_cb,779,663,116,FALSE,Not statistcially significant,1.2,12
44300,"State College, PA",161960,1009,Metropolitan Statistical Area,black,12,12,0,FALSE,No results,,
44300,"State College, PA",161960,1009,Metropolitan Statistical Area,latino,18,17,1,FALSE,No results,,
44300,"State College, PA",161960,1009,Metropolitan Statistical Area,native,3,2,1,FALSE,No results,,
44300,"State College, PA",161960,1009,Metropolitan Statistical Area,asian_cb,58,53,5,FALSE,No results,,
36740,"Orlando-Kissimmee-Sanford, FL",2508970,24316,Metropolitan Statistical Area,black,1582,1369,213,TRUE,Statistically significant disparity,1.5,15
36740,"Orlando-Kissimmee-Sanford, FL",2508970,24316,Metropolitan Statistical Area,latino,5256,4564,692,TRUE,Doesn't meet level of disparity,1.4,14
36740,"Orlando-Kissimmee-Sanford, FL",2508970,24316,Metropolitan Statistical Area,native,73,59,14,FALSE,Not enough of applications,2.8,28
36740,"Orlando-Kissimmee-Sanford, FL",2508970,24316,Metropolitan Statistical Area,asian_cb,1686,1497,189,TRUE,Doesn't meet level of disparity,1.3,13
10900,"Allentown-Bethlehem-Easton, PA-NJ",837610,5950,Metropolitan Statistical Area,black,157,137,20,FALSE,Not statistcially significant,1.8,18
10900,"Allentown-Bethlehem-Easton, PA-NJ",837610,5950,Metropolitan Statistical Area,latino,569,503,66,FALSE,Not statistcially significant,1.3,13
10900,"Allentown-Bethlehem-Easton, PA-NJ",837610,5950,Metropolitan Statistical Area,native,13,10,3,FALSE,Not statistcially significant,2.2,22
10900,"Allentown-Bethlehem-Easton, PA-NJ",837610,5950,Metropolitan Statistical Area,asian_cb,282,255,27,FALSE,Not statistcially significant,1.5,15
35840,"North Port-Sarasota-Bradenton, FL",803709,10086,Metropolitan Statistical Area,black,192,170,22,TRUE,Statistically significant disparity,1.8,18
35840,"North Port-Sarasota-Bradenton, FL",803709,10086,Metropolitan Statistical Area,latino,702,605,97,TRUE,Statistically significant disparity,1.8,18
35840,"North Port-Sarasota-Bradenton, FL",803709,10086,Metropolitan Statistical Area,native,18,13,5,FALSE,Not statistcially significant,2.6,26
35840,"North Port-Sarasota-Bradenton, FL",803709,10086,Metropolitan Statistical Area,asian_cb,232,206,26,TRUE,Statistically significant disparity,1.8,18
12580,"Baltimore-Columbia-Towson, MD",2796733,22086,Metropolitan Statistical Area,black,2322,2085,237,TRUE,Statistically significant disparity,2.4,24
12580,"Baltimore-Columbia-Towson, MD",2796733,22086,Metropolitan Statistical Area,latino,1018,938,80,TRUE,Statistically significant disparity,1.7,17
12580,"Baltimore-Columbia-Towson, MD",2796733,22086,Metropolitan Statistical Area,native,54,48,6,FALSE,Not statistcially significant,1.5,15
12580,"Baltimore-Columbia-Towson, MD",2796733,22086,Metropolitan Statistical Area,asian_cb,2187,1987,200,TRUE,Statistically significant disparity,2.3,23
39740,"Reading, PA",418025,2482,Metropolitan Statistical Area,black,60,53,7,FALSE,Not statistcially significant,1.9,19
39740,"Reading, PA",418025,2482,Metropolitan Statistical Area,latino,281,243,38,FALSE,Not statistcially significant,1.5,15
39740,"Reading, PA",418025,2482,Metropolitan Statistical Area,native,2,2,0,FALSE,Not statistcially significant,0,0
39740,"Reading, PA",418025,2482,Metropolitan Statistical Area,asian_cb,51,49,2,FALSE,Not statistcially significant,0.7,7
49620,"York-Hanover, PA",445565,3204,Metropolitan Statistical Area,black,101,82,19,FALSE,Not enough variance in variables,4.6,46
49620,"York-Hanover, PA",445565,3204,Metropolitan Statistical Area,latino,112,96,16,FALSE,Not enough variance in variables,2.6,26
49620,"York-Hanover, PA",445565,3204,Metropolitan Statistical Area,native,7,7,0,FALSE,Not enough variance in variables,0,0
49620,"York-Hanover, PA",445565,3204,Metropolitan Statistical Area,asian_cb,69,66,3,FALSE,Not enough variance in variables,0.6,6
38300,"Pittsburgh, PA",2331447,16700,Metropolitan Statistical Area,black,394,350,44,FALSE,Not statistcially significant,1.1,11
38300,"Pittsburgh, PA",2331447,16700,Metropolitan Statistical Area,latino,216,203,13,FALSE,Not statistcially significant,1,10
38300,"Pittsburgh, PA",2331447,16700,Metropolitan Statistical Area,native,23,22,1,FALSE,Not statistcially significant,0.4,4
38300,"Pittsburgh, PA",2331447,16700,Metropolitan Statistical Area,asian_cb,767,723,44,TRUE,Statistically significant disparity,1.6,16
10580,"Albany-Schenectady-Troy, NY",880736,6553,Metropolitan Statistical Area,black,135,118,17,FALSE,Not statistcially significant,1.8,18
10580,"Albany-Schenectady-Troy, NY",880736,6553,Metropolitan Statistical Area,latino,141,130,11,FALSE,Not statistcially significant,1.2,12
10580,"Albany-Schenectady-Troy, NY",880736,6553,Metropolitan Statistical Area,native,11,10,1,FALSE,Not statistcially significant,2.3,23
10580,"Albany-Schenectady-Troy, NY",880736,6553,Metropolitan Statistical Area,asian_cb,454,433,21,FALSE,Not statistcially significant,0.6,6
36140,"Ocean City, NJ",93086,667,Metropolitan Statistical Area,black,3,3,0,FALSE,No results,,
36140,"Ocean City, NJ",93086,667,Metropolitan Statistical Area,latino,10,10,0,FALSE,No results,,
36140,"Ocean City, NJ",93086,667,Metropolitan Statistical Area,native,2,2,0,FALSE,No results,,
36140,"Ocean City, NJ",93086,667,Metropolitan Statistical Area,asian_cb,7,5,2,FALSE,No results,,
14860,"Bridgeport-Stamford-Norwalk, CT",943926,7650,Metropolitan Statistical Area,black,406,347,59,TRUE,Statistically significant disparity,1.6,16
14860,"Bridgeport-Stamford-Norwalk, CT",943926,7650,Metropolitan Statistical Area,latino,1038,931,107,FALSE,Not statistcially significant,1.1,11
14860,"Bridgeport-Stamford-Norwalk, CT",943926,7650,Metropolitan Statistical Area,native,11,10,1,FALSE,Not statistcially significant,0.9,9
14860,"Bridgeport-Stamford-Norwalk, CT",943926,7650,Metropolitan Statistical Area,asian_cb,499,456,43,FALSE,Not statistcially significant,1.4,14
15764,"Cambridge-Newton-Framingham, MA",2384518,20053,Metropolitan Division,black,374,339,35,TRUE,Statistically significant disparity,1.7,17
15764,"Cambridge-Newton-Framingham, MA",2384518,20053,Metropolitan Division,latino,1545,1418,127,FALSE,Not statistcially significant,1.3,13
15764,"Cambridge-Newton-Framingham, MA",2384518,20053,Metropolitan Division,native,20,18,2,FALSE,Not statistcially significant,1,10
15764,"Cambridge-Newton-Framingham, MA",2384518,20053,Metropolitan Division,asian_cb,2742,2565,177,TRUE,Statistically significant disparity,1.8,18
45300,"Tampa-St. Petersburg-Clearwater, FL",3097859,30863,Metropolitan Statistical Area,black,1247,1064,183,TRUE,Statistically significant disparity,2,20
45300,"Tampa-St. Petersburg-Clearwater, FL",3097859,30863,Metropolitan Statistical Area,latino,4069,3613,456,TRUE,Doesn't meet level of disparity,1.4,14
45300,"Tampa-St. Petersburg-Clearwater, FL",3097859,30863,Metropolitan Statistical Area,native,76,68,8,FALSE,Not statistcially significant,1,10
45300,"Tampa-St. Petersburg-Clearwater, FL",3097859,30863,Metropolitan Statistical Area,asian_cb,1598,1417,181,TRUE,Statistically significant disparity,1.5,15
29460,"Lakeland-Winter Haven, FL",686218,4478,Metropolitan Statistical Area,black,277,235,42,FALSE,Not enough variance in variables,1.7,17
29460,"Lakeland-Winter Haven, FL",686218,4478,Metropolitan Statistical Area,latino,912,780,132,FALSE,Not enough variance in variables,1.5,15
29460,"Lakeland-Winter Haven, FL",686218,4478,Metropolitan Statistical Area,native,11,8,3,FALSE,Not enough variance in variables,1.4,14
29460,"Lakeland-Winter Haven, FL",686218,4478,Metropolitan Statistical Area,asian_cb,145,131,14,FALSE,Not enough variance in variables,1,10
45060,"Syracuse, NY",652416,3645,Metropolitan Statistical Area,black,96,85,11,FALSE,Not statistcially significant,1.5,15
45060,"Syracuse, NY",652416,3645,Metropolitan Statistical Area,latino,76,71,5,FALSE,Not statistcially significant,0.8,8
45060,"Syracuse, NY",652416,3645,Metropolitan Statistical Area,native,16,14,2,FALSE,Not statistcially significant,1.9,19
45060,"Syracuse, NY",652416,3645,Metropolitan Statistical Area,asian_cb,195,180,15,FALSE,Not statistcially significant,1.3,13
37340,"Palm Bay-Melbourne-Titusville, FL",585507,5454,Metropolitan Statistical Area,black,170,140,30,FALSE,Not enough variance in variables,2.3,23
37340,"Palm Bay-Melbourne-Titusville, FL",585507,5454,Metropolitan Statistical Area,latino,419,368,51,FALSE,Not enough variance in variables,1.5,15
37340,"Palm Bay-Melbourne-Titusville, FL",585507,5454,Metropolitan Statistical Area,native,17,14,3,FALSE,Not enough variance in variables,2.9,29
37340,"Palm Bay-Melbourne-Titusville, FL",585507,5454,Metropolitan Statistical Area,asian_cb,191,167,24,FALSE,Not enough variance in variables,1.6,16
28940,"Knoxville, TN",853337,8095,Metropolitan Statistical Area,black,163,143,20,TRUE,Statistically significant disparity,1.8,18
28940,"Knoxville, TN",853337,8095,Metropolitan Statistical Area,latino,185,172,13,FALSE,Not statistcially significant,1.5,15
28940,"Knoxville, TN",853337,8095,Metropolitan Statistical Area,native,17,17,0,FALSE,Not statistically significant,0,0
28940,"Knoxville, TN",853337,8095,Metropolitan Statistical Area,asian_cb,212,192,20,FALSE,Not statistcially significant,1.7,17
42940,"Sevierville, TN",97068,566,Micropolitan Statistical Area,black,1,0,1,FALSE,No results,,
42940,"Sevierville, TN",97068,566,Micropolitan Statistical Area,latino,12,5,7,FALSE,No results,,
42940,"Sevierville, TN",97068,566,Micropolitan Statistical Area,native,3,3,0,FALSE,No results,,
42940,"Sevierville, TN",97068,566,Micropolitan Statistical Area,asian_cb,14,12,2,FALSE,No results,,
34100,"Morristown, TN",140912,730,Metropolitan Statistical Area,black,4,4,0,FALSE,Not enough variance in variables,0,0
34100,"Morristown, TN",140912,730,Metropolitan Statistical Area,latino,29,25,4,FALSE,Not enough variance in variables,1.5,15
34100,"Morristown, TN",140912,730,Metropolitan Statistical Area,native,3,2,1,FALSE,Not enough variance in variables,0.9,9
34100,"Morristown, TN",140912,730,Metropolitan Statistical Area,asian_cb,9,7,2,FALSE,Not enough variance in variables,4.1,41
28700,"Kingsport-Bristol, TN-VA",306546,1899,Metropolitan Statistical Area,black,17,13,4,FALSE,No results,,
28700,"Kingsport-Bristol, TN-VA",306546,1899,Metropolitan Statistical Area,latino,26,22,4,FALSE,No results,,
28700,"Kingsport-Bristol, TN-VA",306546,1899,Metropolitan Statistical Area,native,12,10,2,FALSE,No results,,
28700,"Kingsport-Bristol, TN-VA",306546,1899,Metropolitan Statistical Area,asian_cb,18,16,2,FALSE,No results,,
35460,"Newport, TN",35552,92,Micropolitan Statistical Area,black,0,0,0,FALSE,No results,,
35460,"Newport, TN",35552,92,Micropolitan Statistical Area,latino,0,0,0,FALSE,No results,,
35460,"Newport, TN",35552,92,Micropolitan Statistical Area,native,0,0,0,FALSE,No results,,
35460,"Newport, TN",35552,92,Micropolitan Statistical Area,asian_cb,0,0,0,FALSE,No results,,
27740,"Johnson City, TN",202049,1394,Metropolitan Statistical Area,black,16,14,2,FALSE,No results,,
27740,"Johnson City, TN",202049,1394,Metropolitan Statistical Area,latino,27,25,2,FALSE,No results,,
27740,"Johnson City, TN",202049,1394,Metropolitan Statistical Area,native,9,6,3,FALSE,No results,,
27740,"Johnson City, TN",202049,1394,Metropolitan Statistical Area,asian_cb,23,19,4,FALSE,No results,,
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",1871903,23209,Metropolitan Statistical Area,black,998,883,115,TRUE,Statistically significant disparity,1.8,18
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",1871903,23209,Metropolitan Statistical Area,latino,1080,985,95,FALSE,Not statistcially significant,1,10
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",1871903,23209,Metropolitan Statistical Area,native,56,54,2,FALSE,Not statistcially significant,0.5,5
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",1871903,23209,Metropolitan Statistical Area,asian_cb,1023,924,99,TRUE,Statistically significant disparity,2.2,22
16860,"Chattanooga, TN-GA",556209,4725,Metropolitan Statistical Area,black,116,106,10,FALSE,Not statistcially significant,0.8,8
16860,"Chattanooga, TN-GA",556209,4725,Metropolitan Statistical Area,latino,150,136,14,FALSE,Not statistcially significant,1,10
16860,"Chattanooga, TN-GA",556209,4725,Metropolitan Statistical Area,native,11,10,1,FALSE,Not statistcially significant,3,30
16860,"Chattanooga, TN-GA",556209,4725,Metropolitan Statistical Area,asian_cb,139,130,9,FALSE,Not statistcially significant,1.5,15
18900,"Crossville, TN",59216,347,Micropolitan Statistical Area,black,1,1,0,FALSE,No results,,
18900,"Crossville, TN",59216,347,Micropolitan Statistical Area,latino,4,4,0,FALSE,No results,,
18900,"Crossville, TN",59216,347,Micropolitan Statistical Area,native,0,0,0,FALSE,No results,,
18900,"Crossville, TN",59216,347,Micropolitan Statistical Area,asian_cb,4,3,1,FALSE,No results,,
24620,"Greeneville, TN",68834,283,Micropolitan Statistical Area,black,2,2,0,FALSE,No results,,
24620,"Greeneville, TN",68834,283,Micropolitan Statistical Area,latino,3,3,0,FALSE,No results,,
24620,"Greeneville, TN",68834,283,Micropolitan Statistical Area,native,0,0,0,FALSE,No results,,
24620,"Greeneville, TN",68834,283,Micropolitan Statistical Area,asian_cb,1,1,0,FALSE,No results,,
17420,"Cleveland, TN",122563,691,Metropolitan Statistical Area,black,11,9,2,FALSE,No results,,
17420,"Cleveland, TN",122563,691,Metropolitan Statistical Area,latino,30,27,3,FALSE,No results,,
17420,"Cleveland, TN",122563,691,Metropolitan Statistical Area,native,1,1,0,FALSE,No results,,
17420,"Cleveland, TN",122563,691,Metropolitan Statistical Area,asian_cb,11,9,2,FALSE,No results,,
48864,"Wilmington, DE-MD-NJ",721707,5103,Metropolitan Division,black,553,494,59,TRUE,Statistically significant disparity,2.2,22
48864,"Wilmington, DE-MD-NJ",721707,5103,Metropolitan Division,latino,264,242,22,FALSE,Not statistcially significant,1.4,14
48864,"Wilmington, DE-MD-NJ",721707,5103,Metropolitan Division,native,17,16,1,FALSE,Not statistcially significant,0.6,6
48864,"Wilmington, DE-MD-NJ",721707,5103,Metropolitan Division,asian_cb,455,417,38,TRUE,Statistically significant disparity,1.8,18
20100,"Dover, DE",176699,893,Metropolitan Statistical Area,black,169,154,15,FALSE,No results,,
20100,"Dover, DE",176699,893,Metropolitan Statistical Area,latino,22,19,3,FALSE,No results,,
20100,"Dover, DE",176699,893,Metropolitan Statistical Area,native,3,3,0,FALSE,No results,,
20100,"Dover, DE",176699,893,Metropolitan Statistical Area,asian_cb,44,37,7,FALSE,No results,,
41540,"Salisbury, MD-DE",404417,3347,Metropolitan Statistical Area,black,113,97,16,FALSE,No results,,
41540,"Salisbury, MD-DE",404417,3347,Metropolitan Statistical Area,latino,96,86,10,FALSE,No results,,
41540,"Salisbury, MD-DE",404417,3347,Metropolitan Statistical Area,native,7,6,1,FALSE,No results,,
41540,"Salisbury, MD-DE",404417,3347,Metropolitan Statistical Area,asian_cb,74,64,10,FALSE,No results,,
33980,"Morehead City, NC",69070,600,Micropolitan Statistical Area,black,3,3,0,FALSE,No results,,
33980,"Morehead City, NC",69070,600,Micropolitan Statistical Area,latino,9,9,0,FALSE,No results,,
33980,"Morehead City, NC",69070,600,Micropolitan Statistical Area,native,1,1,0,FALSE,No results,,
33980,"Morehead City, NC",69070,600,Micropolitan Statistical Area,asian_cb,5,4,1,FALSE,No results,,
20500,"Durham-Chapel Hill, NC",626695,7457,Metropolitan Statistical Area,black,617,553,64,TRUE,Statistically significant disparity,2,20
20500,"Durham-Chapel Hill, NC",626695,7457,Metropolitan Statistical Area,latino,489,450,39,TRUE,Statistically significant disparity,1.8,18
20500,"Durham-Chapel Hill, NC",626695,7457,Metropolitan Statistical Area,native,19,17,2,FALSE,Not statistcially significant,1.9,19
20500,"Durham-Chapel Hill, NC",626695,7457,Metropolitan Statistical Area,asian_cb,493,460,33,TRUE,Statistically significant disparity,2.2,22
49180,"Winston-Salem, NC",666216,5716,Metropolitan Statistical Area,black,346,317,29,FALSE,Not enough variance in variables,1.1,11
49180,"Winston-Salem, NC",666216,5716,Metropolitan Statistical Area,latino,415,368,47,FALSE,Not enough variance in variables,1.8,18
49180,"Winston-Salem, NC",666216,5716,Metropolitan Statistical Area,native,18,18,0,FALSE,Not enough variance in variables,0,0
49180,"Winston-Salem, NC",666216,5716,Metropolitan Statistical Area,asian_cb,144,136,8,FALSE,Not enough variance in variables,0.8,8
19660,"Deltona-Daytona Beach-Ormond Beach, FL",646288,5992,Metropolitan Statistical Area,black,179,156,23,FALSE,Not statistcially significant,1.5,15
19660,"Deltona-Daytona Beach-Ormond Beach, FL",646288,5992,Metropolitan Statistical Area,latino,575,517,58,FALSE,Not statistcially significant,1.1,11
19660,"Deltona-Daytona Beach-Ormond Beach, FL",646288,5992,Metropolitan Statistical Area,native,18,13,5,FALSE,Not enough of applications,4.1,41
19660,"Deltona-Daytona Beach-Ormond Beach, FL",646288,5992,Metropolitan Statistical Area,asian_cb,124,103,21,TRUE,Statistically significant disparity,2.1,21
16740,"Charlotte-Concord-Gastonia, NC-SC",2545560,32019,Metropolitan Statistical Area,black,2504,2220,284,TRUE,Statistically significant disparity,1.5,15
16740,"Charlotte-Concord-Gastonia, NC-SC",2545560,32019,Metropolitan Statistical Area,latino,2465,2244,221,TRUE,Doesn't meet level of disparity,1.3,13
16740,"Charlotte-Concord-Gastonia, NC-SC",2545560,32019,Metropolitan Statistical Area,native,86,75,11,FALSE,Not statistcially significant,2.1,21
16740,"Charlotte-Concord-Gastonia, NC-SC",2545560,32019,Metropolitan Statistical Area,asian_cb,2075,1918,157,TRUE,Statistically significant disparity,1.7,17
27260,"Jacksonville, FL",1503574,15122,Metropolitan Statistical Area,black,821,710,111,FALSE,Not statistcially significant,1.3,13
27260,"Jacksonville, FL",1503574,15122,Metropolitan Statistical Area,latino,1028,925,103,FALSE,Not statistcially significant,1.1,11
27260,"Jacksonville, FL",1503574,15122,Metropolitan Statistical Area,native,36,30,6,FALSE,Not statistcially significant,1.8,18
27260,"Jacksonville, FL",1503574,15122,Metropolitan Statistical Area,asian_cb,792,698,94,TRUE,Statistically significant disparity,1.6,16
14380,"Boone, NC",54925,347,Micropolitan Statistical Area,black,3,1,2,FALSE,No results,,
14380,"Boone, NC",54925,347,Micropolitan Statistical Area,latino,8,7,1,FALSE,No results,,
14380,"Boone, NC",54925,347,Micropolitan Statistical Area,native,0,0,0,FALSE,No results,,
14380,"Boone, NC",54925,347,Micropolitan Statistical Area,asian_cb,6,6,0,FALSE,No results,,
24660,"Greensboro-High Point, NC",762063,5833,Metropolitan Statistical Area,black,615,557,58,TRUE,Statistically significant disparity,1.8,18
24660,"Greensboro-High Point, NC",762063,5833,Metropolitan Statistical Area,latino,427,378,49,TRUE,Statistically significant disparity,2.7,27
24660,"Greensboro-High Point, NC",762063,5833,Metropolitan Statistical Area,native,12,9,3,FALSE,Not statistcially significant,4.1,41
